Adhyay,Mantra Number,Mantra,Chanda,Devata,Rishi,Padpath,URL,ScrapedAtUTC
1,12,प॒वित्रे॑ स्थो वैष्ण॒व्यौ᳖ सवि॒तुर्वः॑ प्रस॒व उत्पु॑ना॒म्यच्छि॑द्रेण प॒वित्रे॑ण॒ सूर्य्य॑स्य रश्मिभिः॑। देवी॑रापोऽअग्रेगुवोऽअग्रेपु॒वोऽग्र॑ऽइ॒मम॒द्य य॒ज्ञं न॑य॒ताग्रे॑ य॒ज्ञप॑तिꣳ सु॒धातुं॑ य॒ज्ञप॑तिं देव॒युव॑म् ॥१२॥,"भूरिग् अत्यष्टिः,",अप्सवितारौ देवते,परमेष्ठी प्रजापतिर्ऋषिः,प॒वित्रे॒ऽइति॑ प॒वित्रे॑। स्थः॒। वै॒ष्ण॒व्यौ᳖। स॒वि॒तुः। वः॒। प्र॒स॒व इति॑ प्र॒ऽस॒वे। उत्। पु॒ना॒मि॒। अच्छि॑द्रेण। प॒वित्रे॑ण। सूर्य्य॑स्य। र॒श्मिभि॒रिति॑ र॒श्मिऽभिः॑। देवीः॑। आ॒पः॒। अ॒ग्रे॒गु॒व॒ इत्य॑ग्रेऽगुवः। अ॒ग्रे॒पु॒व॒ इत्य॑ग्रेऽपुवः॒। अग्रे॑। इ॒मम्। अ॒द्य। य॒ज्ञम्। न॒य॒त॒। अग्रे॑। य॒ज्ञप॑ति॒मिति॑ य॒ज्ञऽप॑तिम्। सु॒धातु॒मिति॑ सु॒धाऽतु॑म्। य॒ज्ञप॑ति॒मिति॑ यज्ञऽप॑तिम्। दे॒व॒युव॒मिति॑ देव॒ऽयुव॑म् ॥१२॥,https://www.xn--j2b3a4c.com/yajurveda/1/12,2025-12-05T02:44:00.011532
1,13,यु॒ष्माऽइन्द्रो॑ऽवृणीत वृत्र॒तूर्य्ये॑ यू॒यमिन्द्र॑मवृणीध्वं वृत्र॒तूर्ये॒ प्रोक्षि॑ता स्थ। अ॒ग्नये॑ त्वा॒ जुष्टं॒ प्रोक्षा॑म्य॒ग्नीषोमा॑भ्यां त्वा॒ जुष्टं॒ प्रोक्षा॑मि। दैव्या॑य॒ कर्म॑णे शुन्धध्वं देवय॒ज्यायै॒ यद्वोऽशु॑द्धाः पराज॒घ्नुरि॒दं व॒स्तच्छु॑न्धामि ॥१३॥,"निचृद् उष्णिक्, भूरिग् आर्ची गायत्री, भुरिग् उष्णिक्,",इन्द्रो देवता। अग्निर्यज्ञो देवता,परमेष्ठी प्रजापतिर्ऋषिः,यु॒ष्माः। इन्द्रः॑। अ॒वृ॒णी॒त॒। वृ॒त्र॒तूर्य्य॒ इति॑ वृत्र॒ऽतूर्य्ये॑। यू॒यम्। इन्द्र॑म्। अ॒वृ॒णी॒ध्व॒म्। वृ॒त्र॒तूर्य्य॒ इति॑ वृ॒त्र॒ऽतूर्य्ये॑। प्रोक्षि॑ता॒ इति॒ प्रऽउ॑क्षिताः। स्थ॒। अ॒ग्नये॑। त्वा॒। जुष्ट॑म्। प्र। उ॒क्षा॒मि॒। अ॒ग्नीषोमा॑भ्याम्। त्वा॒। जुष्ट॑म्। प्रऽउ॒क्षा॒मि॒ ॥ दैव्या॑य। कर्म॑णे। शु॒न्ध॒ध्व॒म्। दे॒व॒य॒ज्याया॒ इति॑ देवऽय॒ज्यायै॑। यत्। वः॒। अशु॑द्धाः। प॒रा॒ज॒घ्नुरिति॑ पराऽज॒घ्नुः। इ॒दम्। वः॒ तत्। शु॒न्धा॒मि॒ ॥१३॥,https://www.xn--j2b3a4c.com/yajurveda/1/13,2025-12-05T02:44:01.117436
1,14,शर्मा॒स्यव॑धूत॒ꣳ रक्षोऽव॑धूता॒ऽअरा॑त॒योऽदि॑त्या॒स्त्वग॑सि॒ प्रति॒ त्वादि॑तिर्वेत्तु। अद्रि॑रसि वानस्प॒त्यो ग्रावा॑सि पृ॒थुबु॑ध्नः॒ प्रति॒ त्वादि॑त्या॒स्त्वग्वे॑त्तु ॥१४॥,"स्वराड् जगती,",यज्ञो देवता,परमेष्ठी प्रजापतिर्ऋषिः,शर्म॑। अ॒सि॒। अव॑धूत॒मित्यव॑ऽधूतम्। रक्षः॑। अव॑धूता॒ इत्यव॑धूताः। अरा॑तयः। अदि॑त्याः। त्वक्। अ॒सि॒। प्रति॑। त्वा॒। अदि॑तिः। वे॒त्तु॒। अद्रिः॑। अ॒सि॒। वा॒न॒स्प॒त्यः। ग्रावा॑। अ॒सि॒। पृ॒थुबु॑ध्न॒ इति॑ पृ॒थुबु॑ध्नः। प्रति॑। त्वा॒। अदि॑त्याः। त्वक्। वे॒त्तु॒ ॥१४॥,https://www.xn--j2b3a4c.com/yajurveda/1/14,2025-12-05T02:44:03.653527
1,15,अ॒ग्नेस्त॒नूर॑सि वा॒चो वि॒सर्ज॑नं दे॒ववी॑तये त्वा गृह्णामि बृ॒हद् ग्रा॑वासि वानस्प॒त्यः सऽइ॒दं दे॒वेभ्यो॑ ह॒विः श॑मीष्व सु॒शमि॑ शमीष्व। हवि॑ष्कृ॒देहि॒ हवि॑ष्कृ॒देहि॑ ॥१५॥,"निचृद् जगती, याजुषी पङ्क्तिः,",यज्ञो देवता,परमेष्ठी प्रजापतिर्ऋषिः,अ॒ग्नेः। त॒नूः। अ॒सि॒। वा॒चः। वि॒सर्ज॑न॒मिति॑ वि॒ऽसर्ज॑नम्। दे॒ववी॑तय॒ इति॑ दे॒वऽवी॑तये। त्वा॒। गृ॒ह्णा॒मि॒। बृ॒हद्ग्रा॒वेति॑ बृ॒हत्ऽग्रा॑वा। अ॒सि॒। वा॒न॒स्प॒त्यः। सः। इ॒दम्। दे॒वेभ्यः॑। ह॒विः। श॒मी॒ष्व॒। श॒मि॒ष्वेति॑ शमिष्व। सु॒शमीति॑ सु॒ऽशमि॑। श॒मी॒ष्व॒। श॒मि॒ष्वेति॑ शमिष्व। हवि॑ष्कृत्। हविः॑कृ॒दिति॒ हविः॑कृत्। आ। इ॒हि॒। हवि॑ष्कृत्। हविः॑कृ॒दिति॒ हविः॑ऽकृत्। आ। इ॒हि॒ ॥१५॥,https://www.xn--j2b3a4c.com/yajurveda/1/15,2025-12-05T02:44:06.061303
1,16,कु॒क्कु॒टो᳖ऽसि॒ मधु॑जिह्व॒ऽइष॒मूर्ज॒माव॑द॒ त्वया॑ व॒यꣳ स॑ङ्घा॒तꣳ स॑ङ्घातं जेष्म व॒र्षवृ॑द्धमसि॒ प्रति॑ त्वा व॒र्षवृ॑द्धं वेत्तु॒ परा॑पूत॒ꣳ रक्षः॒ परा॑पूता॒ अरा॑त॒योऽप॑हत॒ꣳ रक्षो॑ वा॒युर्वो॒ विवि॑नक्तु दे॒वो वः॑ सवि॒ता हिर॑ण्यपाणिः॒ प्रति॑गृभ्णा॒त्वच्छि॑द्रेण पा॒णिना॑ ॥१६॥,"स्वराड् ब्राह्मी त्रिष्टुप्, विराड् गायत्री,",वायुः सविता देवता,परमेष्ठी प्रजापतिर्ऋषिः,कु॒क्कु॒टः। अ॒सि॒। मधु॑जिह्व॒ इति॒ मधु॑ऽजिह्वः। इष॑म्। ऊर्ज्ज॑म्। आ। वद॒। त्वया॑। व॒यं। सं॒घा॒तम् सं॑घात॒मि॑ति संघा॒तꣳसं॑घातम्। जे॒ष्म॒। व॒र्षवृद्ध॒मिति व॒र्षऽवृद्ध॑म्। अ॒सि॒। प्रति। त्वा॒। व॒र्षवृ॑द्ध॒मिति व॒र्षऽवृ॑द्धम्। वे॒त्तु॒। परा॑पूत॒मिति॒। परा॑ऽपूतम्। रक्षः॑। परा॑पूता॒ इति॒ परा॑ऽपूताः। अरा॑तयः। अप॑हत॒मित्यप॑ऽहतम्। रक्षः॑। वा॒युः। वः॒। वि। वि॒न॒क्तु दे॒वः। वः॒। स॒वि॒ता। हिर॑ण्यपाणि॒रिति॒ हिर॑ण्यऽपाणिः। प्रति॑। गृ॒भ्णा॒तु॒। अच्छिद्रेण। पा॒णिना॑ ॥१६॥,https://www.xn--j2b3a4c.com/yajurveda/1/16,2025-12-05T02:44:08.157617
1,17,धृष्टि॑र॒स्यपा॑ऽग्नेऽअ॒ग्निमा॒मादं॑ जहि॒ निष्क्र॒व्याद॑ꣳ से॒धा दे॑व॒यजं॑ वह। ध्रु॒वम॑सि पृथि॒वीं दृ॑ꣳह ब्रह्म॒वनि॑ त्वा क्षत्र॒वनि॑ सजात॒वन्युप॑दधामि॒ भ्रातृ॑व्यस्य व॒धाय॑ ॥१७॥,"निचृद् ब्राह्मी पङ्क्तिः,",अग्निर्देवता,परमेष्ठी प्रजापतिर्ऋषिः,धृष्टिः। अ॒सि। अप॑। अ॒ग्ने॒। अ॒ग्निम्। आ॒माद॒मित्या॑मऽअद॑म्। ज॒हि॒। निष्क्र॒व्याद॒मिति निष्क्रव्य॒ऽअद॑म्। सेध॒। आ। दे॒व॒यज॒मिति। देव॒ऽयज॑म्। व॒ह॒। ध्रु॒वम्। अ॒सि॒। पृ॒थिवी॑म्। दृ॒ꣳह॒। ब्र॒ह्म॒वनीति ब्रह्म॒ऽवनि॑। त्वा॒। क्ष॒त्र॒वनीति॑ क्षत्र॒ऽवनि॑। स॒जा॒त॒वनीति॑ सजात॒ऽवनि॑। उप॑ऽद॒धा॒मि॒। भ्रातृ॑व्यस्य व॒धाय॑ ॥१७॥,https://www.xn--j2b3a4c.com/yajurveda/1/17,2025-12-05T02:44:10.665047
1,19,शर्मा॒स्यव॑धूत॒ꣳ रक्षोऽव॑धूता॒ऽअरा॑त॒योऽदि॑त्या॒स्त्वग॑सि॒ प्रति॒ त्वादि॑तिर्वेतु। धि॒षणा॑सि पर्व॒ती प्रति॒ त्वादि॑त्या॒स्त्वग्वे॑त्तु दि॒वः स्क॑म्भ॒नीर॑सि धि॒षणा॑सि पार्वते॒यी प्रति॑ त्वा पर्व॒ती वे॑त्तु ॥१९॥,"निचृद् ब्राह्मी त्रिष्टुप्,",अग्निर्देवता,परमेष्ठी प्रजापतिर्ऋषिः,शर्म॑। अ॒सि॒। अव॑धूत॒मित्यव॑ऽधूतम्। रक्षः॑। अव॑धूता॒ इत्यव॑ऽधूताः। अरा॑तयः। अदि॑त्याः। त्वक्। अ॒सि॒। प्रति॑। त्वा॒। अदि॑तिः। वे॒त्तु॒। धि॒षणा॑। अ॒सि॒। प॒र्व॒ती। प्रति॑। त्वा॒। अदि॑त्याः। त्वक्। वे॒त्तु॒। दि॒वः। स्क॒म्भ॒नीः। अ॒सि॒। धिषणा॑। अ॒सि॒। पा॒र्व॒ते॒यी। प्रति॑। त्वा॒। प॒र्व॒ती वे॒त्तु॒ ॥१९॥,https://www.xn--j2b3a4c.com/yajurveda/1/19,2025-12-05T02:44:14.116205
1,20,धा॒न्य᳖मसि धिनु॒हि दे॒वान् प्रा॒णाय॑ त्वोदा॒नाय॑ त्वा व्या॒नाय॑ त्वा। दी॒र्घामनु॒ प्रसि॑ति॒मायु॑षे धां दे॒वो वः॑ सवि॒ता हिर॑ण्यपाणिः॒ प्रति॑गृभ्णा॒त्वच्छि॑द्रेण पा॒णिना॒ चक्षु॑षे त्वा म॒हीनां॒ पयो॑ऽसि ॥२०॥,"विराड् ब्राह्मी त्रिष्टुप्,",सविता देवता,परमेष्ठी प्रजापतिर्ऋषिः,धा॒न्य᳖म्। अ॒सि॒। धि॒नु॒हि। दे॒वान्। प्रा॒णाय॑। त्वा॒। उ॒दा॒नायेत्यु॑त्ऽआ॒नाय॑। त्वा॒। व्या॒नायेति॑ विऽआ॒नाय॑। त्वा॒। दी॒र्घाम्। अनु॑। प्रसि॑तिमिति॒ प्रऽसि॑तिम्। आयु॑षे। धा॒म्। दे॒वः। वः॒। स॒वि॒ता। हिर॑ण्यपाणि॒रिति॒ हिर॑ण्यऽपाणिः। प्रति॑। गृ॒भ्णा॒तु॒। अच्छि॑द्रेण। पा॒णिना॒। चक्षु॑षे। त्वा॒। म॒हीना॑म्। पयः॑। अ॒सि॒ ॥२०॥,https://www.xn--j2b3a4c.com/yajurveda/1/20,2025-12-05T02:44:15.232487
1,21,दे॒वस्य॑ त्वा सवि॒तुः प्र॑स॒वे᳕ऽश्विनो॑र्बा॒हुभ्यां॑ पू॒ष्णो हस्ता॑भ्याम्। सं व॑पामि॒ समाप॒ऽओष॑धीभिः॒ समोष॑धयो॒ रसे॑न। सꣳ रे॒वती॒र्जग॑तीभिः पृच्यन्ता॒ सं मधु॑मती॒र्मधु॑मतीभिः पृच्यन्ताम् ॥२१॥,"गायत्री, निचृत् पङ्क्तिः",यज्ञो देवता सर्वस्य,परमेष्ठी प्रजापतिर्ऋषिः,दे॒वस्य॑। त्वा॒। स॒वि॒तुः। प्र॒स॒व इति॑ प्रऽस॒वे। अ॒श्विनोः॑। बा॒हुभ्या॒मिति॑ बा॒हुभ्या॑म्। पू॒ष्णः। हस्ता॑भ्याम्। सम्। व॒पा॒मि॒। सम्। आपः॑। ओष॑धीभिः। सम्। ओष॑धयः। रसे॑न। सम्। रे॒वतीः॑। जग॑तीभिः। पृ॒च्य॒न्ता॒म्। सम्। मधु॑मती॒रिति॒ मधु॑ऽमतीः। मधु॑मतीभि॒रिति॒ मधु॑ऽमतीभिः। पृ॒च्य॒न्ता॒म् ॥२१॥,https://www.xn--j2b3a4c.com/yajurveda/1/21,2025-12-05T02:44:16.213934
1,22,जन॑यत्यै त्वा॒ संयौ॑मी॒दम॒ग्नेरि॒दम॒ग्नीषोम॑योरि॒षे त्वा॑ घ॒र्मो᳖ऽसि वि॒श्वायु॑रु॒रुप्र॑थाऽउ॒रु प्र॑थस्वो॒रु। ते॑ य॒ज्ञप॑तिः प्रथताम॒ग्निष्टे॒ त्वचं॒ मा हि॑ꣳसीद् दे॒वस्त्वा॑ सवि॒ता श्र॑पयतु॒ वर्षि॒ष्ठेऽधि॒ नाके॑ ॥२२॥,"भुरिक् त्रिष्टुप्, गायत्री",प्रथतामितिपर्य्यन्तस्य यज्ञो देवता। अन्त्यस्याग्निसवितारौ देवते,परमेष्ठी प्रजापतिर्ऋषिः,जन॑यत्यै। त्वा॒। सम्। यौ॒मि॒। इ॒दम्। अ॒ग्नेः। इ॒दम्। अ॒ग्नीषोम॑योः। इ॒षे। त्वा॒। घ॒र्मः। अ॒सि॒। वि॒श्वायु॒रिति॑ वि॒श्वऽआ॑युः। उ॒रुप्र॑था॒ इत्यु॒रुऽप्र॑थाः। उ॒रु। प्र॒थ॒स्व॒। उ॒रु। ते॒। य॒ज्ञप॑ति॒रिति॑ य॒ज्ञऽप॑तिः। प्र॒थ॒ता॒म्। अ॒ग्निः। ते॒। त्वच॑म्। मा। हि॒ꣳसी॒त्। दे॒वः। त्वा॒। स॒वि॒ता। श्र॒प॒य॒तु॒। वर्षि॑ष्ठे। अधि॑। नाके॑ ॥२२॥,https://www.xn--j2b3a4c.com/yajurveda/1/22,2025-12-05T02:44:18.623893
1,23,मा भे॒र्मा॒ संवि॑क्था॒ऽअत॑मेरुर्य॒ज्ञोऽत॑मेरु॒र्यज॑मानस्य प्र॒जा भू॑यात् त्रि॒ताय॑ त्वा द्वि॒ताय॑ त्वैक॒ताय॑ त्वा ॥२३॥,बृहती,अग्निर्देवता,परमेष्ठी प्रजापतिर्ऋषिः,मा। भेः॒। मा। सम्। वि॒क्थाः॒। अत॑मेरुः। य॒ज्ञः। अत॑मेरुः। यज॑मानस्य। प्र॒जेति॑ प्र॒ऽजा। भू॒या॒त्। त्रि॒ताय॑। त्वा॒। द्वि॒ताय॑। त्वा॒। ए॒क॒ताय॑। त्वा॒ ॥२३॥,https://www.xn--j2b3a4c.com/yajurveda/1/23,2025-12-05T02:44:20.302453
1,24,दे॒वस्य॑ त्वा सवि॒तुः प्र॑स॒वे᳕ऽश्विनो॑र्बा॒हुभ्यां॑ पू॒ष्णो हस्ता॑भ्याम्। आद॑देऽध्वर॒कृतं॑ दे॒वेभ्य॒ऽइन्द्र॑स्य बा॒हुर॑सि॒ दक्षि॑णः स॒हस्र॑भृष्टिः श॒तते॑जा वा॒युर॑सि ति॒ग्मते॑जा द्विष॒तो व॒धः ॥२४॥,"स्वराड् ब्राह्मी पङ्क्तिः,",द्योविद्युतौ देवते,परमेष्ठी प्रजापतिर्ऋषिः,दे॒वस्य॑। त्वा॒। स॒वि॒तुः। प्र॒स॒व इति॑ प्रऽस॒वे। अ॒श्विनोः॑। बा॒हुभ्या॒मिति॑ बा॒हुऽभ्या॑म्। पू॒ष्णः। हस्ता॑भ्याम्। आ। द॒दे॒। अ॒ध्व॒र॒कृत॒मित्य॑ध्वर॒ऽकृत॑म् दे॒वेभ्यः॑। इन्द्र॑स्य। बा॒हुः। अ॒सि॒। दक्षि॑णः। स॒हस्र॑भृष्टि॒रिति॑ स॒हस्र॑ऽभृष्टिः। श॒तते॑जा॒ इति श॒तऽते॑जाः। वा॒युः। अ॒सि॒। ति॒ग्मते॑जा॒ इति॑ ति॒ग्मऽते॑जाः। द्वि॒ष॒तः। व॒धः ॥२४॥,https://www.xn--j2b3a4c.com/yajurveda/1/24,2025-12-05T02:44:22.190753
