Mantra Number,Mantra,Chanda,Devata,Rishi,Padpath,URL,ScrapedAtUTC
19,अ꣣ग्नि꣡मि꣢न्धा꣣नो꣡ मन꣢꣯सा꣣ धि꣡य꣢ꣳ सचेत꣣ म꣡र्त्यः꣢ । अ꣣ग्नि꣡मि꣢न्धे वि꣣व꣡स्व꣢भिः ॥१९॥,गायत्री,अग्निः,प्रयोगो भार्गवः,अ꣣ग्नि꣢म् । इ꣣न्धानः꣢ । म꣡न꣢꣯सा । धि꣡य꣢꣯म् स꣣चेत । म꣡र्त्यः꣢꣯ । अ꣣ग्नि꣢म् । इ꣣न्धे । वि꣣व꣡स्व꣢भिः । वि꣣ । व꣡स्व꣢भिः ॥१९॥,https://www.xn--j2b3a4c.com/samveda/19,2025-12-06T06:34:49.528061
20,आ꣢꣫दित्प्र꣣त्न꣢स्य꣣ रे꣡त꣢सो꣣ ज्यो꣡तिः꣢ पश्यन्ति वास꣣र꣢म् । प꣣रो꣢꣫ यदि꣣ध्य꣡ते꣢ दि꣣वि꣢ ॥२०॥,गायत्री,अग्निः,वत्सः काण्वः,आ꣢त् । इत् । प्र꣣त्न꣡स्य꣢ । रे꣡त꣢꣯सः । ज्यो꣡तिः꣢꣯ । प꣣श्यन्ति । वासर꣢म् । प꣣रः꣢ । यत् । इ꣣ध्य꣡ते꣢ । दि꣣वि꣢ ॥२०॥,https://www.xn--j2b3a4c.com/samveda/20,2025-12-06T06:34:52.903245
22,अ꣣ग्नि꣢स्ति꣣ग्मे꣡न꣢ शो꣣चि꣢षा꣣ य꣢ꣳ स꣣द्वि꣢श्वं꣣ न्या꣢३꣱त्रि꣡ण꣢म् । अ꣣ग्नि꣡र्नो꣢ वꣳसते र꣣यि꣢म् ॥२२॥,गायत्री,अग्निः,भरद्वाजो बार्हस्पत्यः,अ꣣ग्निः꣢ । ति꣣ग्मे꣡न꣢ । शो꣣चि꣡षा꣢ । यँ꣡ऽस꣢꣯त् । वि꣡श्व꣢꣯म् । नि । अ꣣त्रि꣡ण꣢म् । अ꣣ग्निः꣢ । नः꣣ । वँऽसते । र꣣यि꣢म् ॥२२॥,https://www.xn--j2b3a4c.com/samveda/22,2025-12-06T06:34:58.374770
23,अ꣡ग्ने꣢ मृ꣣ड꣢ म꣣हा꣢ꣳ अ꣣स्य꣢य꣣ आ꣡ दे꣢व꣣युं꣡ जन꣢꣯म् । इ꣣ये꣡थ꣢ ब꣣र्हि꣢रा꣣स꣡द꣢म् ॥२३॥,गायत्री,अग्निः,वामदेवो गौतमः,अ꣡ग्ने꣢꣯ । मृ꣣ड꣢ । म꣣हा꣢न् । अ꣣सि । अ꣡यः꣢꣯ । आ । दे꣣वयु꣢म् । ज꣡न꣢꣯म् । इ꣣ये꣡थ꣢ । ब꣣र्हिः꣢ । आ꣣स꣡द꣢म् । आ꣣ । स꣡द꣢म् ॥२३॥,https://www.xn--j2b3a4c.com/samveda/23,2025-12-06T06:35:01.454468
24,अ꣢ग्ने꣣ र꣡क्षा꣢ णो꣣ अ꣡ꣳह꣢सः꣣ प्र꣡ति꣢ स्म देव रीष꣣तः꣢ । त꣡पि꣢ष्ठैर꣣ज꣡रो꣢ दह ॥२४॥,गायत्री,अग्निः,वसिष्ठो मैत्रावरुणिः,अ꣡ग्ने꣢꣯ । र꣡क्ष꣢꣯ । नः꣣ । अँ꣡ह꣢꣯सः । प्र꣡ति꣢꣯ । स्म꣣ । देव । रीषतः꣢ । त꣡पि꣢꣯ष्ठैः । अ꣣ज꣡रः꣢ । अ꣣ । ज꣡रः꣢꣯ । द꣣ह ॥२४॥,https://www.xn--j2b3a4c.com/samveda/24,2025-12-06T06:35:05.092066
25,अ꣡ग्ने꣢ यु꣣ङ्क्ष्वा꣡ हि ये तवाश्वा꣢꣯सो देव सा꣣ध꣡वः꣢ । अ꣢रं꣣ व꣡ह꣢न्त्या꣣श꣡वः꣢ ॥२५॥,गायत्री,अग्निः,भरद्वाजो बार्हस्पत्यः,अ꣡ग्ने꣢꣯ । यु꣣ङ्क्ष्वा꣢ । हि । ये । त꣡व꣢꣯ । अ꣡श्वा꣢꣯सः । दे꣣व । साध꣡वः꣢ । अ꣡र꣢꣯म् । व꣡ह꣢꣯न्ति । आ꣣श꣡वः꣢ ॥२५॥,https://www.xn--j2b3a4c.com/samveda/25,2025-12-06T06:35:08.923494
27,अ꣣ग्नि꣢र्मू꣣र्धा꣢ दि꣣वः꣢ क꣣कु꣡त्पतिः꣢꣯ पृथि꣣व्या꣢ अ꣣य꣢म् । अ꣣पा꣡ꣳ रेता꣢꣯ꣳसि जिन्वति ॥२७॥,गायत्री,अग्निः,विरूप आङ्गिरसः,अ꣣ग्निः꣢ । मू꣣र्धा꣢ । दि꣣वः꣢ । क꣣कु꣢त् । प꣡तिः꣢꣯ । पृ꣣थिव्याः꣢ । अ꣣य꣢म् । अ꣣पां꣢ । रे꣡ताँ꣢꣯सि । जि꣣न्वति ॥२७॥,https://www.xn--j2b3a4c.com/samveda/27,2025-12-06T06:35:13.974112
28,इ꣣म꣢मू꣣ षु꣢꣫ त्वम꣣स्मा꣡क꣢ꣳ स꣣निं꣡ गा꣢य꣣त्रं꣡ नव्या꣢꣯ꣳसम् । अ꣡ग्ने꣢ दे꣣वे꣢षु꣣ प्र꣡ वो꣢चः ॥२८॥,गायत्री,अग्निः,शुनः शेप आजीगर्तिः,इ꣣म꣢म् । उ꣣ । सु꣢ । त्वम् । अ꣣स्मा꣡क꣢म् । स꣣नि꣢म् । गा꣣यत्र꣢म् । न꣡व्याँ꣢꣯सम् । अ꣡ग्ने꣢꣯ । दे꣣वे꣡षु꣢ । प्र । वो꣣चः ॥२८॥,https://www.xn--j2b3a4c.com/samveda/28,2025-12-06T06:35:19.091957
29,तं꣡ त्वा꣢ गो꣣प꣡व꣢नो गि꣣रा꣡ जनि꣢꣯ष्ठदग्ने अङ्गिरः । स꣡ पा꣢वक श्रुधी꣣ ह꣡व꣢म् ॥२९॥,गायत्री,अग्निः,गोपवन आत्रेयः,त꣢म् । त्वा꣣ । गो꣣प꣡व꣢नः । गि꣣रा꣢ । ज꣡नि꣢꣯ष्ठत् । अ꣣ग्ने । अङ्गिरः । सः꣢ । पा꣣वक । श्रुधी । ह꣡व꣢꣯म् ॥२९॥,https://www.xn--j2b3a4c.com/samveda/29,2025-12-06T06:35:22.599675
30,प꣢रि꣣ वा꣡ज꣢पतिः क꣣वि꣢र꣣ग्नि꣢र्ह꣣व्या꣡न्य꣢क्रमीत् । द꣢ध꣣द्र꣡त्ना꣢नि दा꣣शु꣡षे꣢ ॥३०॥,गायत्री,अग्निः,वामदेवो गौतमः,प꣡रि꣢꣯ । वा꣡ज꣢꣯पतिः । वा꣡ज꣢꣯ । प꣣तिः । कविः꣢ । अ꣣ग्निः꣢ । ह꣣व्या꣡नि꣢ । अ꣣क्रमीत् । द꣡ध꣢꣯त् । र꣡त्ना꣢꣯नि । दा꣣शु꣡षे꣢ ॥३०॥,https://www.xn--j2b3a4c.com/samveda/30,2025-12-06T06:35:25.612981
32,क꣣वि꣢म꣣ग्नि꣡मुप꣢꣯ स्तुहि स꣣त्य꣡ध꣢र्माणमध्व꣣रे꣢ । दे꣣व꣡म꣢मीव꣣चा꣡त꣢नम् ॥३२॥,गायत्री,अग्निः,मेधातिथिः काण्वः,क꣣वि꣢म् । अ꣣ग्नि꣢म् । उ꣡प꣢꣯ । स्तु꣣हि । स꣣त्य꣡ध꣢र्माणम् । स꣣त्य꣢ । ध꣣र्माणम् । अध्वरे꣢ । दे꣣व꣢म् । अ꣣मीवचा꣡त꣢नम् । अ꣣मीव । चा꣡त꣢꣯नम् ॥३२॥,https://www.xn--j2b3a4c.com/samveda/32,2025-12-06T06:38:03.145757
33,शं꣡ नो꣢ दे꣣वी꣢र꣣भि꣡ष्ट꣢ये꣣ शं꣡ नो꣢ भवन्तु पी꣣त꣡ये꣢ । शं꣢꣫ योर꣣भि꣡ स्र꣢वन्तु नः ॥३३॥,गायत्री,अग्निः,"सिन्धुद्वीप आम्बरीषः, त्रित आप्त्यो वा",श꣢म् । नः꣢ । देवीः꣢ । अ꣣भि꣡ष्ट꣢ये । शम् । नः꣣ । भवन्तु । पीत꣡ये꣢ । शम् । योः । अ꣣भि꣢ । स्र꣣वन्तु । नः ॥३३॥,https://www.xn--j2b3a4c.com/samveda/33,2025-12-06T06:38:05.580385
34,क꣡स्य꣢ नू꣣नं꣡ प꣢꣯रीणसि꣣ धि꣡यो꣢ जिन्वसि सत्पते । गो꣡षा꣢ता꣣ य꣡स्य꣢ ते꣣ गि꣡रः꣢ ॥३४॥,गायत्री,अग्निः,उशना काव्यः,क꣡स्य꣢꣯ । नू꣣न꣢म् । प꣡री꣢꣯णसि । प꣡रि꣢꣯ । न꣣सि । धि꣡यः꣢꣯ । जि꣣न्वसि । सत्पते । सत् । पते । गो꣡षा꣢꣯ता । गो꣢ । सा꣣ता । य꣡स्य꣢꣯ । ते꣣ । गि꣡रः꣢꣯ ॥३४॥,https://www.xn--j2b3a4c.com/samveda/34,2025-12-06T06:38:11.348217
36,पा꣣हि꣡ नो꣢ अग्न꣣ ए꣡क꣢या पा꣣ह्यू꣡३꣱त꣢ द्वि꣣ती꣡य꣢या । पा꣣हि꣢ गी꣣र्भि꣢स्ति꣣सृ꣡भि꣢रूर्जां पते पा꣣हि꣡ च꣢त꣣सृ꣡भि꣢र्वसो ॥३६॥,बृहती,अग्निः,भर्गः प्रागाथः,पा꣣हि꣢ । नः꣣ । अग्ने । ए꣡क꣢꣯या । पा꣣हि꣢ । उ꣣त꣢ । द्वि꣣ती꣡य꣢या । पा꣣हि꣢ । गी꣣र्भिः꣢ । ति꣣सृ꣡भिः꣢ । ऊ꣣र्जाम् । पते । पाहि꣢ । च꣣तसृ꣡भिः꣢ । व꣣सो ॥३६॥,https://www.xn--j2b3a4c.com/samveda/36,2025-12-06T06:38:32.953972
37,बृ꣣ह꣡द्भि꣢रग्ने अ꣣र्चि꣡भिः꣢ शु꣣क्रे꣡ण꣢ देव शो꣣चि꣡षा꣢ । भ꣣र꣡द्वा꣢जे समिधा꣣नो꣡ य꣢विष्ठ्य रे꣣व꣡त्पा꣢वक दीदिहि ॥३७॥,बृहती,अग्निः,शंयुर्बार्हस्पत्यः,बृ꣣ह꣡द्भिः꣢ । अ꣣ग्ने । अ꣣र्चिभिः꣢ । शु꣣क्रे꣡ण꣢ । दे꣣व । शोचि꣡षा꣢ । भ꣣र꣡द्वा꣢जे । भ꣣र꣢त् । वा꣣जे । समिधानः꣢ । सम्꣣ । इधानः꣢ । य꣣विष्ठ्य । रेव꣢त् । पा꣣वक । दीदिहि ॥३७॥,https://www.xn--j2b3a4c.com/samveda/37,2025-12-06T06:39:09.177823
40,अ꣢ग्ने꣣ वि꣡व꣢स्वदु꣣ष꣡स꣢श्चि꣣त्र꣡ꣳ राधो꣢꣯ अमर्त्य । आ꣢ दा꣣शु꣡षे꣢ जातवेदो वहा꣣ त्व꣢म꣣द्या꣢ दे꣣वा꣡ꣳ उ꣢ष꣣र्बु꣡धः꣢ ॥४०॥,बृहती,अग्निः,प्रस्कण्वः काण्वः,अ꣡ग्ने꣢ । वि꣡व꣢꣯स्वत् । वि । व꣣स्वत् । उष꣡सः꣢ । चि꣣त्र꣢म् । रा꣡धः꣢꣯ । अ꣣मर्त्य । अ । मर्त्य । आ꣢ । दा꣣शु꣡षे꣢ । जा꣣तवेदः । जात । वेदः । वह । त्व꣢म् । अ꣣द्य꣢ । अ꣣ । द्य꣢ । दे꣣वा꣢न् । उ꣣षर्बु꣡धः꣢ । उ꣣षः । बु꣡धः꣢꣯ ॥४०॥,https://www.xn--j2b3a4c.com/samveda/40,2025-12-06T06:39:14.173504
42,त्व꣢꣯मित्स꣣प्र꣡था꣢ अ꣣स्य꣡ग्ने꣢ त्रातरृ꣣तः꣢ क꣣विः꣢ । त्वां꣡ विप्रा꣢꣯सः समिधान दीदिव꣣ आ꣡ वि꣢वासन्ति वे꣣ध꣡सः꣢ ॥४२॥,बृहती,अग्निः,भर्गः प्रागाथः,त्व꣢म् । इत् । स꣣प्र꣡थाः꣢ । स꣣ । प्र꣡थाः꣢꣯ । अ꣣सि । अ꣡ग्ने꣢꣯ । त्रा꣣तः । ऋतः꣢ । क꣣विः꣢ । त्वाम् । वि꣡प्रा꣢꣯सः । वि । प्रा꣣सः । समिधान । सम् । इधान । दीदिवः । आ꣢ । वि꣣वासन्ति । वेध꣡सः꣢ ॥४२॥,https://www.xn--j2b3a4c.com/samveda/42,2025-12-06T06:39:32.139874
44,यो꣢꣫ विश्वा꣣ द꣡य꣢ते꣣ व꣢सु꣣ हो꣡ता꣢ म꣣न्द्रो꣡ जना꣢꣯नाम् । म꣢धो꣣र्न꣡ पात्रा꣢꣯ प्रथ꣣मा꣡न्य꣢स्मै꣣ प्र꣡ स्तोमा꣢꣯ यन्त्व꣣ग्न꣡ये꣢ ॥४४॥,बृहती,अग्निः,सौभरि: काण्व:,यः꣢ । वि꣡श्वा꣢꣯ । द꣡य꣢꣯ते । व꣡सु꣢꣯ । हो꣡ता꣢꣯ । म꣣न्द्रः꣢ । ज꣡ना꣢꣯नाम् । म꣡धोः꣢꣯ । न । पा꣡त्रा꣢꣯ । प्र꣣थमा꣢नि꣢ । अ꣣स्मै । प्र꣢ । स्तो꣡माः꣢꣯ । य꣣न्तु । अग्न꣡ये꣢ ॥४४॥,https://www.xn--j2b3a4c.com/samveda/44,2025-12-06T06:39:37.364350
45,ए꣣ना꣡ वो꣢ अ꣣ग्निं꣡ नम꣢꣯सो꣣र्जो꣡ नपा꣢꣯त꣣मा꣡ हु꣢वे । प्रि꣣यं꣡ चेति꣢꣯ष्ठमर꣣ति꣡ꣳ स्व꣢ध्व꣣रं꣡ विश्व꣢꣯स्य दू꣣त꣢म꣣मृ꣡त꣢म् ॥४५॥,बृहती,अग्निः,वसिष्ठो मैत्रावरुणिः,ए꣣ना꣢ । वः꣣ । अग्नि꣢म् । न꣡म꣢꣯सा । ऊ꣣र्जः꣢ । न꣡पा꣢꣯तम् । आ । हु꣣वे । प्रिय꣢म् । चे꣡ति꣢꣯ष्ठम् । अर꣣ति꣢म् । स्व꣣ध्वरम् । सु । अध्वर꣢म् । वि꣡श्व꣢꣯स्य दू꣣त꣢म् । अ꣣मृ꣡त꣢म् । अ꣣ । मृ꣡त꣢꣯म् ॥४५॥,https://www.xn--j2b3a4c.com/samveda/45,2025-12-06T06:39:39.773542
48,अ꣣ग्नि꣢रु꣣क्थे꣢ पु꣣रो꣡हि꣢तो꣣ ग्रा꣡वा꣢णो ब꣣र्हि꣡र꣢ध्व꣣रे꣢ । ऋ꣣चा꣡ या꣢मि मरुतो ब्रह्मणस्पते꣣ दे꣢वा꣣ अ꣢वो꣣ व꣡रे꣢ण्यम् ॥४८॥,बृहती,अग्निः,मनुर्वैवस्वतः,अ꣣ग्निः꣢ । उ꣣क्थे꣢ । पु꣣रो꣡हि꣢तः । पु꣣रः꣢ । हि꣣तः । ग्रा꣡वा꣢꣯णः । ब꣣र्हिः꣢ । अ꣣ध्वरे꣢ । ऋ꣣चा꣢ । या꣣मि । मरुतः । ब्रह्मणः । पते । दे꣡वाः꣢꣯ । अ꣡वः꣢꣯ । व꣡रे꣢꣯ण्यम् ॥४८॥,https://www.xn--j2b3a4c.com/samveda/48,2025-12-06T06:39:49.647540
49,अ꣣ग्नि꣡मी꣢डि꣣ष्वा꣡व꣢से꣣ गा꣡था꣢भिः शी꣣र꣡शो꣢चिषम् । अ꣣ग्नि꣢ꣳ रा꣣ये꣡ पु꣢रुमीढ श्रु꣣तं꣢꣫ नरो꣣ऽग्निः꣡ सु꣢दी꣣त꣡ये꣢ छ꣣र्दिः꣢ ॥४९॥,बृहती,अग्निः,सुदीतिपुरुमीढावाङ्गिरसौ तयोर्वान्यतरः,अ꣣ग्नि꣢म् । ई꣣डिष्व । अ꣡व꣢꣯से । गा꣡था꣢꣯भिः । शी꣣र꣡शो꣢चिषम् । शी꣣र꣢ । शो꣣चिषम् । अग्नि꣢म् । रा꣣ये꣢ । पु꣣रुमीढ । पुरु । मीढ । श्रुत꣢म् । न꣡रः꣢꣯ । अ꣣ग्निः꣢ । सु꣣दीत꣡ये꣢ । सु꣣ । दीत꣡ये꣢ । छ꣣र्दिः꣢ ॥४९॥,https://www.xn--j2b3a4c.com/samveda/49,2025-12-06T06:39:54.077592
